Process Name;Process Path;Activity Name;Host Name;Count;Peligroso;Etiqueta_Texto;proceso_longitud;tiene_numeros_nombre;nombre_aleatorio;nombre_muy_corto;ruta_appdata;ruta_roaming;ruta_temp;ruta_downloads;ruta_desktop;ruta_system32;ruta_program_files;es_exe;es_dll;es_script;proceso_peligroso_conocido;frecuencia_alta;log_count;hora;dia_semana;es_horario_nocturno
TeamViewer_Service.exe;nan;FortiEDR-Security-PUP-Block;PC-TD241GON2;2;0;NO_PELIGROSO;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;9;4;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;PC-LEGAL03;6;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.9459101490553132;0;3;1
AnyDesk3ebc.exe;nan;FortiEDR-Security-Malicious-Block;HG-LAPTOP51;3;1;PELIGROSO;15;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;15;3;0
Ent_Perm.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KPL;1;1;PELIGROSO;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;17;4;0
TnQGwf.exe;nan;FortiEDR-Security-Malicious-Block;PQC01XIBACETA;1;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;14;1;0
QHActiveDefense.exe;nan;FortiEDR-Security-Suspicious-Block;PQ04R3DESPAPGA;251;1;PELIGROSO;19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;5.529429087511423;19;4;0
task.exe;nan;FortiEDR-Security-Malicious-Block;AOTIC01;1;1;PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;13;2;0
armsvc.exe;nan;FortiEDR-Security-Malicious-Block;PNSAP5CD4381KN0;2;1;PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;7;1;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-RRHH45;1;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;2;0
w11mdp.dll;nan;FortiEDR-Security-PUP-Block;QTEGYELOGAPINEDA;3;0;NO_PELIGROSO;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1.3862943611198906;13;4;0
NwUpdateInstServer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;4;1;PELIGROSO;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6094379124341003;10;4;0
msedge_elf.dll;nan;FortiEDR-Security-Malicious-Block;QTEGYEEPINEDA;1;1;PELIGROSO;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.6931471805599453;15;3;0
update.exe;nan;FortiEDR-Security-PUP-Block;PTTRQ22;1;0;NO_PELIGROSO;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;12;4;0
WerFaultSecure.exe;nan;FortiEDR-Security-Malicious-Block;PTGHM03;1;1;PELIGROSO;18;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;16;2;0
AnyDesk7_MAR22.exe;nan;FortiEDR-Security-PUP-Block;PC-CDVES08;1;0;NO_PELIGROSO;18;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;18;2;0
OInstall.exe;nan;FortiEDR-Security-PUP-Block;LT-MKT10;2;0;NO_PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;14;4;0
streamer.exe;nan;FortiEDR-Security-Malicious-Block;PNSA-SERVER;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;15;1;0
PolariumBrokerUpdateService.exe;nan;FortiEDR-Security-PUP-Block;HG-LAPTOP192;2;0;NO_PELIGROSO;31;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;11;0;0
OInstall.exe;nan;FortiEDR-Security-Malicious-Block;LT-CDVES01;1;1;PELIGROSO;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0.6931471805599453;11;0;0
java.exe;nan;FortiEDR-Security-PUP-Block;TEC01N;3;0;NO_PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.3862943611198906;12;2;0
powershell.exe;nan;FortiEDR-Security-Suspicious-Block;EQU001-025;1;1;PELIGROSO;14;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0.6931471805599453;9;2;0
mysqlauditadmin.exe;nan;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KPL;2;1;PELIGROSO;19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;15;4;0
test.dat;nan;FortiEDR-Security-Malicious-Block;LT-VCORP44;1;1;PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6931471805599453;14;4;0
core.exe;nan;FortiEDR-Security-Suspicious-Block;HG-LAPTOP203;20;1;PELIGROSO;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3.044522437723423;5;1;1
Act.exe;nan;FortiEDR-Security-Malicious-Block;TEC02N;2;1;PELIGROSO;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.0986122886681098;13;0;0
