Event Receive Time;Event Type;Event Name;Activity Name;Host Name;Host IP;Process Name;Process Path;Business Service Name;User;Incident First Occurrence Time;Incident Last Occurrence Time;Count
31/10/2025 17:10;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36ADM;172.16.36.29;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;user;01/10/2025 10:16;31/10/2025 17:10;2150
31/10/2025 16:37;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;LAPJMANCO;10.20.13.218;2673958754.ico;;C:\Program Files\Fortinet\FortiClient\SoftwareInventory\2673958754.ico;jmanco;01/10/2025 8:56;31/10/2025 16:37;373
31/10/2025 16:14;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36CJR03;172.16.36.70;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;user;01/10/2025 11:01;31/10/2025 16:14;770
31/10/2025 15:35;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KXJ;192.168.18.30;FLCL.dll;;C:\Program Files (x86)\Kodak\Preps 9\Preps\FLCL.dll;jramirez;31/10/2025 15:33;31/10/2025 15:35;3
31/10/2025 15:27;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;SRV-APP06;10.4.1.213;AnyDesk.exe;;C:\Users\user\OneDrive - Quimpac S.A\Pruebas_BI\AnyDesk.exe;sistemas;22/10/2025 15:24;31/10/2025 15:27;276
31/10/2025 14:44;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD246ADM;172.16.51.29;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;02/10/2025 8:16;31/10/2025 14:44;422
31/10/2025 14:39;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36CJR03;172.16.36.70;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;03/10/2025 12:11;31/10/2025 14:39;369
31/10/2025 13:54;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36ADM;172.16.36.29;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;01/10/2025 8:31;31/10/2025 13:54;897
31/10/2025 13:52;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PQ02TOBREGON;10.25.2.6;1319548146.ico;;C:\Program Files\Fortinet\FortiClient\SoftwareInventory\1319548146.ico;azuniga;16/10/2025 13:51;31/10/2025 13:52;241
31/10/2025 11:28;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-CRED22;172.16.5.112;WerFault.exe;;C:\Windows\System32\WerFault.exe;analista.operaciones;29/10/2025 11:10;31/10/2025 11:28;2
31/10/2025 11:12;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PQ03SOTUYA;10.12.2.179;69c09e0b02c640a499dd11b08a974798-fa726e21b8f84350b6d5e410ef88eac6-458fa182266648b4a53440e634630999-c50719857282a36209cfcd7cd760dc5e462f57ae.temp;;C:\OneDriveTemp\S-1-5-21-3980907825-1687944145-1845389762-31776\69c09e0b02c640a499dd11b08a974798-fa726e21b8f84350b6d5e410ef88eac6-458fa182266648b4a53440e634630999-c50719857282a36209cfcd7cd760dc5e462f57ae.temp;almacen_salinasotuma;21/10/2025 10:12;31/10/2025 11:12;19
31/10/2025 10:25;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;QECUIODTRUJILLO;192.168.100.65;w11mdp.dll;;C:\Users\dtrujillo\AppData\Local\Kingsoft\WPS Office\12.2.0.23131\office6\w11mdp.dll;;31/10/2025 10:25;31/10/2025 10:25;1
31/10/2025 9:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36ADM;172.16.36.29;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;01/10/2025 14:32;31/10/2025 9:48;235
